M-Group	M-Group-Type [k|u]	M-Group  Label (kVSG only)	SGB	hits	genomes in the SGB
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	uSGB27513 	1	1
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	uSGB4423 	1	127
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	uSGB2312 	1	129
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	kSGB2328 	1	498
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	uSGB5785 	1	575
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	kSGB1934 	1	4703
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	kSGB4871 	1	810
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	kSGB9649 	1	44
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	uSGB3978 	1	12
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	kSGB5075 	1	2032
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	kSGB15467 	1	617
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	kSGB9742 	1	3
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	kSGB10288 	1	11
M367	kVSG	NC_0095141_Phage_cdtI_DNA|NC_0197161_Enterobacteria_phage_mEp460|NC_0197231_Enterobacteria_phage_HK630|NC_0420571_Enterobacteria_phage_DE3|NC_0218571_Shigella_phage_SfII|NC_0113561_Enterobacteria_phage_YYZ2008_complete_prophage_genome|NC_0048131_Enterobacteria_phage_BP4795|NC_0197111_Enterobacteria_phage_HK629|NC_0014161_Enterobacteria_phage_lambda|NC_0113571_Stx2converting_phage_1717_complete_prophage_genome|NC_0227491_Shigella_phage_SfIV|NC_0034441_Enterobacteria_phage_SfV|NC_0027301_Enterobacteria_phage_HK620|NC_0319401_Salmonella_phage_118970_sal3|NC_0273981_Enterobacteria_phage_Sf101|NC_0273391_Enterobacteria_phage_SfI|NC_0084641_Stx2converting_phage_86|NC_0197141_Enterobacteria_phage_HK446|NC_0197681_Enterobacteria_phage_HK106|NC_0289431_Escherichia_phage_pro483|NC_0195011_Enterobacteria_phage_IME10|NC_0290152_Salmonella_phage_SEN4|NC_0197671_Enterobacteria_phage_HK544|NC_0418481_Enterobacteria_phage_P2|NC_0103921_Phage_Gifsy1|NC_0053441_Enterobacteria_phage_Sf6|NC_0197151_Enterobacterial_phage_mEp234|NC_0102371_Enterobacteria_phage_Min27|NC_0016091_Enterobacteria_phage_P4|NC_0290032_Salmonella_phage_SEN1|NC_0197691_Enterobacteria_phage_HK542|NC_0009021_Enterobacteria_phage_VT2Sakai|NC_0197061_Enterobacteria_phage_mEp043_c1|NC_0021671_Enterobacteria_phage_HK97|NC_0254341_Shigella_phage_POCJ13|NC_0419351_Escherichia_phage_PA28|NC_0197101_Enterobacteria_phage_HK140|NC_0197201_Enterobacterial_phage_mEp213|NC_0197081_Enterobacteria_phage_mEp235|NC_0194881_Salmonella_phage_RE2010|NC_0104631_Enterobacteria_phage_Fels2	kSGB31141 	1	1
